date;price
2016-06-03;570.9
2016-06-04;572.7
2016-06-05;574
2016-06-06;585.2
2016-06-07;576.9
2016-06-08;583
2016-06-09;575.5
2016-06-10;580.1
2016-06-11;614.5
2016-06-12;671
2016-06-13;705.9
2016-06-14;684.5
2016-06-15;696.9
2016-06-16;769.5
2016-06-17;748.7
2016-06-18;757.6
2016-06-19;767.3
2016-06-20;743.9
2016-06-21;668.9
2016-06-22;606
2016-06-23;625.8
2016-06-24;666
2016-06-25;664.9
2016-06-26;627.4
2016-06-27;662.2
2016-06-28;646.3
2016-06-29;639.7
2016-06-30;674.7
2016-07-01;674.8
2016-07-02;705
2016-07-03;659.3
2016-07-04;681.3
2016-07-05;667.8
2016-07-06;677
2016-07-07;640.5
2016-07-08;664.8
2016-07-09;648.1
2016-07-10;649.7
2016-07-11;648
2016-07-12;667.2
2016-07-13;653.7
2016-07-14;659.8
2016-07-15;665.5
2016-07-16;665.3
2016-07-17;683.2
2016-07-18;674.3
2016-07-19;675
2016-07-20;665.8
2016-07-21;665
2016-07-22;648
2016-07-23;654
2016-07-24;661.8
2016-07-25;654.2
2016-07-26;648.5
2016-07-27;654.5
2016-07-28;654.1
2016-07-29;658.3
2016-07-30;655
2016-07-31;623.7
2016-08-01;608
2016-08-02;604
2016-08-03;604.1
2016-08-04;604.1
2016-08-05;604.1
2016-08-06;604.1
2016-08-07;604.1
2016-08-08;604.1
2016-08-09;604.1
2016-08-10;590.3
2016-08-11;591.3
2016-08-12;585.5
2016-08-13;583.7
2016-08-14;569.4
2016-08-15;564.6
2016-08-16;574.2
2016-08-17;571.8
2016-08-18;572.2
2016-08-19;573.5
2016-08-20;582
2016-08-21;581.4
2016-08-22;588
2016-08-23;583.5
2016-08-24;580.3
2016-08-25;577.2
2016-08-26;578
2016-08-27;568.5
2016-08-28;574.2
2016-08-29;574.8
2016-08-30;579.5
2016-08-31;576.2
2016-09-01;572.7
2016-09-02;579.8
2016-09-03;609.9
2016-09-04;614.5
2016-09-05;611.5
2016-09-06;615.2
2016-09-07;619.8
2016-09-08;631.7
2016-09-09;626.3
2016-09-10;628
2016-09-11;612.1
2016-09-12;611.6
2016-09-13;614.2
2016-09-14;613.9
2016-09-15;611.8
2016-09-16;610
2016-09-17;607.7
2016-09-18;613
2016-09-19;609.8
2016-09-20;600
2016-09-21;597.4
2016-09-22;597.1
2016-09-23;603.3
2016-09-24;602.5
2016-09-25;600.4
2016-09-26;609.1
2016-09-27;605.5
2016-09-28;603.8
2016-09-29;604.6
2016-09-30;611.1
2016-10-01;614.1
2016-10-02;609.1
2016-10-03;612.6
2016-10-04;611
2016-10-05;614.1
2016-10-06;613.5
2016-10-07;620.1
2016-10-08;620.5
2016-10-09;616.6
2016-10-10;618.9
2016-10-11;641.7
2016-10-12;637.6
2016-10-13;637
2016-10-14;643
2016-10-15;640.2
2016-10-16;644.2
2016-10-17;639.8
2016-10-18;638.8
2016-10-19;631.8
2016-10-20;632.5
2016-10-21;636.7
2016-10-22;665
2016-10-23;659
2016-10-24;654.7
2016-10-25;659.5
2016-10-26;678.7
2016-10-27;688.7
2016-10-28;693.5
2016-10-29;714.5
2016-10-30;702.5
2016-10-31;704.1
2016-11-01;734.2
2016-11-02;737.9
2016-11-03;690.1
2016-11-04;708.4
2016-11-05;708.4
2016-11-06;713
2016-11-07;707.8
2016-11-08;714
2016-11-09;723.8
2016-11-10;714.9
2016-11-11;714.8
2016-11-12;703.8
2016-11-13;708.1
2016-11-14;707.4
2016-11-15;712.2
2016-11-16;745
2016-11-17;740.7
2016-11-18;754
2016-11-19;752.9
2016-11-20;729.7
2016-11-21;739
2016-11-22;750
2016-11-23;742
2016-11-24;737.7
2016-11-25;740.4
2016-11-26;731.2
2016-11-27;725
2016-11-28;731.5
2016-11-29;731
2016-11-30;739
2016-12-01;755.4
2016-12-02;774.9
2016-12-03;765.3
2016-12-04;768.5
2016-12-05;750.6
2016-12-06;757.4
2016-12-07;765
2016-12-08;765
2016-12-09;770.5
2016-12-10;772.9
2016-12-11;770.2
2016-12-12;778
2016-12-13;775
2016-12-14;774.5
2016-12-15;777.4
2016-12-16;784.2
2016-12-17;791
2016-12-18;790.2
2016-12-19;790.6
2016-12-20;798
2016-12-21;830
2016-12-22;859.2
2016-12-23;919
2016-12-24;895.2
2016-12-25;898
2016-12-26;906.4
2016-12-27;936.3
2016-12-28;981.7
2016-12-29;972.6
2016-12-30;959.3
2016-12-31;966.6
2017-01-01;999
2017-01-02;1019.3
2017-01-03;1037.5
2017-01-04;1139.6
2017-01-05;1003.2
2017-01-06;898
2017-01-07;908.8
2017-01-08;915.9
2017-01-09;903
2017-01-10;905.8
2017-01-11;778.6
2017-01-12;804.6
2017-01-13;828.1
2017-01-14;815.3
2017-01-15;820.7
2017-01-16;830.1
2017-01-17;904
2017-01-18;887.8
2017-01-19;900.3
2017-01-20;896
2017-01-21;924
2017-01-22;923.7
2017-01-23;910
2017-01-24;886.1
2017-01-25;893.3
2017-01-26;915.1
2017-01-27;916.7
2017-01-28;919.4
2017-01-29;912.6
2017-01-30;917.4
2017-01-31;966.2
2017-02-01;983.7
2017-02-02;1005.7
2017-02-03;1015.7
2017-02-04;1031.1
2017-02-05;1006.6
2017-02-06;1022.6
2017-02-07;1052.1
2017-02-08;1048.8
2017-02-09;985
2017-02-10;992
2017-02-11;1000.3
2017-02-12;996
2017-02-13;996.5
2017-02-14;1013.7
2017-02-15;1013.8
2017-02-16;1038.4
2017-02-17;1056.2
2017-02-18;1059.8
2017-02-19;1056.2
2017-02-20;1091.2
2017-02-21;1129.6
2017-02-22;1125.3
2017-02-23;1190.9
2017-02-24;1185.1
2017-02-25;1153
2017-02-26;1178.3
2017-02-27;1195.5
2017-02-28;1189.1
2017-03-01;1232.8
2017-03-02;1262.3
2017-03-03;1288.2
2017-03-04;1267.8
2017-03-05;1278.4
2017-03-06;1279.3
2017-03-07;1232.4
2017-03-08;1149.3
2017-03-09;1190.4
2017-03-10;1113.6
2017-03-11;1172.8
2017-03-12;1225.2
2017-03-13;1238.5
2017-03-14;1245
2017-03-15;1256.1
2017-03-16;1169
2017-03-17;1068.4
2017-03-18;971
2017-03-19;1016.1
2017-03-20;1039
2017-03-21;1115
2017-03-22;1039.1
2017-03-23;1033
2017-03-24;943.1
2017-03-25;972.2
2017-03-26;969
2017-03-27;1042.7
2017-03-28;1044.7
2017-03-29;1041.8
2017-03-30;1041
2017-03-31;1081.7
2017-04-01;1093.2
2017-04-02;1107.6
2017-04-03;1150.2
2017-04-04;1145
2017-04-05;1140.6
2017-04-06;1191.5
2017-04-07;1196.6
2017-04-08;1188.1
2017-04-09;1215.9
2017-04-10;1220.3
2017-04-11;1235.6
2017-04-12;1227.4
2017-04-13;1187
2017-04-14;1206.8
2017-04-15;1193.3
2017-04-16;1212
2017-04-17;1240
2017-04-18;1265.4
2017-04-19;1260.5
2017-04-20;1308.4
2017-04-21;1325.6
2017-04-22;1347.5
2017-04-23;1355.2
2017-04-24;1345
2017-04-25;1370.3
2017-04-26;1399.3
2017-04-27;1440.3
2017-04-28;1415.6
2017-04-29;1423.6
2017-04-30;1435.2
2017-05-01;1533.1
2017-05-02;1560
2017-05-03;1617.8
2017-05-04;1607.1
2017-05-05;1545.1
2017-05-06;1597.1
2017-05-07;1619.9
2017-05-08;1703.2
2017-05-09;1760
2017-05-10;1796.8
2017-05-11;1853.9
2017-05-12;1735
2017-05-13;1820.4
2017-05-14;1828.1
2017-05-15;1772.5
2017-05-16;1785.7
2017-05-17;1870
2017-05-18;1941.5
2017-05-19;1966.5
2017-05-20;2059.7
2017-05-21;2029.2
2017-05-22;2085.5
2017-05-23;2249.3
2017-05-24;2394.8
2017-05-25;2252
2017-05-26;2127.3
2017-05-27;1972.3
2017-05-28;2056.6
2017-05-29;2207.4
2017-05-30;2146.7
2017-05-31;2191.8
2017-06-01;2311.6
2017-06-02;2405.9
2017-06-03;2461
2017-06-04;2488.2
2017-06-05;2636.2
2017-06-06;2843.6
2017-06-07;2642.6
2017-06-08;2782.1
2017-06-09;2809
2017-06-10;2806
2017-06-11;2936.3
2017-06-12;2571.8
2017-06-13;2676.4
2017-06-14;2395
2017-06-15;2377.4
2017-06-16;2437
2017-06-17;2610
2017-06-18;2491.5
2017-06-19;2580.8
2017-06-20;2712.2
2017-06-21;2621.2
2017-06-22;2672.8
2017-06-23;2674.9
2017-06-24;2502.6
2017-06-25;2477.7
2017-06-26;2394.6
2017-06-27;2521.2
2017-06-28;2518.2
2017-06-29;2470.1
2017-06-30;2420.7
2017-07-01;2349.5
2017-07-02;2445
2017-07-03;2524
2017-07-04;2582.6
2017-07-05;2598.5
2017-07-06;2593.1
2017-07-07;2479.3
2017-07-08;2542
2017-07-09;2478
2017-07-10;2318.3
2017-07-11;2282.1
2017-07-12;2374.4
2017-07-13;2329
2017-07-14;2205.1
2017-07-15;1978.6
2017-07-16;1924.9
2017-07-17;2219
2017-07-18;2302.1
2017-07-19;2253.1
2017-07-20;2856.3
2017-07-21;2664
2017-07-22;2845.7
2017-07-23;2747.5
2017-07-24;2769.7
2017-07-25;2560.9
2017-07-26;2525.7
2017-07-27;2664.9
2017-07-28;2784.8
2017-07-29;2714.1
2017-07-30;2749
2017-07-31;2856
2017-08-01;2731.2
2017-08-02;2702
2017-08-03;2790.3
2017-08-04;2860
2017-08-05;3256.4
2017-08-06;3227.9
2017-08-07;3396.7
2017-08-08;3415
2017-08-09;3339.9
2017-08-10;3407.9
2017-08-11;3644.1
2017-08-12;3865.5
2017-08-13;4053.3
2017-08-14;4319.5
2017-08-15;4151.9
2017-08-16;4386.3
2017-08-17;4260
